State,Year,StateCode,Population,AllOpioids,AllOpioidsRate,AllOpioidsRatePer100k,T40.1,T40.1Rate,T40.1RatePer100k,T40.2,T40.2Rate,T40.2RatePer100k,T40.3,T40.3Rate,T40.3RatePer100k,T40.4,T40.4Rate,T40.4RatePer100k,T40.6,T40.6Rate,T40.6RatePer100k,fracwhite,fracblack,fracother,yr_st_age_0_15,yr_st_age_16_35,yr_st_age_36_64,yr_st_age_65plus
Alabama,2016,1,4863300,351,7.21732E-05,7.217321572,129,2.65252E-05,2.652519894,99,2.03565E-05,2.035654802,35,7.19676E-06,0.71967594,158,3.24882E-05,3.248822816,13,2.67308E-06,0.267308206,0.703569611,0.263450534,0.032979855,0.198828573,0.264960623,0.374890095,0.161320708
Alaska,2016,2,741894,101,0.000136138,13.61380467,51,6.8743E-05,6.874297406,51,6.8743E-05,6.874297406,17,2.29143E-05,2.291432469,10,1.3479E-05,1.347901452,26,3.50454E-05,3.504543776,0.681289609,0.034412747,0.284297644,0.225086064,0.305449296,0.365398561,0.10406608
Arizona,2016,4,6931071,806,0.000116288,11.62879445,304,4.38605E-05,4.386046543,348,5.02087E-05,5.020869069,80,1.15422E-05,1.154222775,127,1.83233E-05,1.832328655,52,7.50245E-06,0.750244803,0.847695336,0.043946222,0.108358441,0.208515105,0.2714895,0.351057001,0.168938394
Arkansas,2016,5,2988248,175,5.85627E-05,5.856274312,13,4.35038E-06,0.43503752,120,4.01573E-05,4.015730957,32,1.07086E-05,1.070861588,40,1.33858E-05,1.338576986,14,4.68502E-06,0.468501945,0.8033158,0.15570431,0.04097989,0.208938482,0.265597099,0.362581687,0.162882733
California,2016,6,39250017,2146,5.46751E-05,5.467513555,606,1.54395E-05,1.543948376,1035,2.63694E-05,2.636941533,300,7.64331E-06,0.764330879,371,9.45223E-06,0.945222521,169,4.30573E-06,0.430573062,0.741838075,0.066745905,0.19141602,0.205350153,0.289153658,0.369276248,0.136219941
Colorado,2016,8,5540545,560,0.000101073,10.10730894,241,4.34975E-05,4.349752597,223,4.02487E-05,4.024874809,60,1.08293E-05,1.082925958,75,1.35366E-05,1.353657447,26,4.69268E-06,0.469267915,0.884957158,0.042734266,0.072308576,0.202417813,0.288292217,0.375093064,0.134196907
Connecticut,2016,9,3576452,868,0.000242699,24.26986298,455,0.000127221,12.7221056,210,5.87174E-05,5.871741044,75,2.09705E-05,2.097050373,503,0.000140642,14.06421783,13,3.63489E-06,0.363488731,0.825612735,0.109714706,0.064672559,0.18361102,0.261088084,0.393855139,0.161445757
Delaware,2016,10,952065,159,0.000167005,16.7005404,56,5.88195E-05,5.881951337,34,3.57118E-05,3.571184741,12,1.26042E-05,1.260418144,80,8.40279E-05,8.402787625,10,1.05035E-05,1.050348453,0.719173124,0.21859179,0.062235086,0.189705535,0.26086034,0.374078451,0.175355674
District of Columbia,2016,11,681170,213,0.000312697,31.26972709,125,0.000183508,18.35077881,54,7.92754E-05,7.927536445,22,3.22974E-05,3.22973707,130,0.000190848,19.08480996,4,5.87225E-06,0.587224922,0.417575861,0.515817079,0.06660706,0.162129865,0.379191685,0.34315516,0.115523291
Florida,2016,12,20612439,2847,0.00013812,13.81204815,675,3.27472E-05,3.274721638,1054,5.11342E-05,5.113417194,209,1.01395E-05,1.013950848,1585,7.68953E-05,7.689531549,80,3.88115E-06,0.388115157,0.787650807,0.16371556,0.048633632,0.17768397,0.250341602,0.373312008,0.198662419
Georgia,2016,13,10310371,944,9.15583E-05,9.155829601,232,2.25016E-05,2.250161512,469,4.54882E-05,4.548817884,115,1.11538E-05,1.115381784,285,2.76421E-05,2.76420703,59,5.72239E-06,0.57223935,0.63430544,0.309045648,0.056648912,0.215460821,0.277144343,0.376006547,0.131388289
Hawaii,2016,15,1428557,82,5.74006E-05,5.740057975,20,1.40001E-05,1.40001414,47,3.29003E-05,3.290033229,15,1.05001E-05,1.050010605,11,7.70008E-06,0.770007777,1,7.00007E-07,0.070000707,0.256598356,0.016520608,0.726881036,0.193460954,0.271576843,0.364187078,0.170775125
Idaho,2016,16,1683140,122,7.24836E-05,7.248357237,25,1.48532E-05,1.485319106,65,3.86183E-05,3.861829675,15,8.91191E-06,0.891191464,21,1.24767E-05,1.247668049,10,5.94128E-06,0.594127642,0.941639417,0.006985281,0.051375303,0.230449042,0.267172665,0.35088228,0.151496013
Illinois,2016,17,12801539,2013,0.000157247,15.72467185,1059,8.27244E-05,8.272442868,399,3.11681E-05,3.116812752,126,9.84257E-06,0.984256659,932,7.28037E-05,7.280374649,133,1.03894E-05,1.038937584,0.781768739,0.14835263,0.069878631,0.201754414,0.273895896,0.378174765,0.146174925
Indiana,2016,18,6633053,828,0.000124829,12.48293961,303,4.56803E-05,4.568032247,247,3.72378E-05,3.723775462,39,5.87965E-06,0.587964547,317,4.7791E-05,4.779096443,97,1.46237E-05,1.46237336,0.869680012,0.093123911,0.037196077,0.209761176,0.269939649,0.370810998,0.149488177
Iowa,2016,19,3134693,195,6.2207E-05,6.220704866,48,1.53125E-05,1.531250429,87,2.77539E-05,2.775391402,14,4.46615E-06,0.446614708,62,1.97787E-05,1.977865137,15,4.78516E-06,0.478515759,0.93213529,0.030099906,0.037764804,0.206751028,0.26776721,0.361441774,0.164039987
Kansas,2016,20,2907289,164,5.64099E-05,5.640994067,32,1.10068E-05,1.100681769,95,3.26765E-05,3.267649002,12,4.12756E-06,0.412755663,31,1.06629E-05,1.066285464,12,4.12756E-06,0.412755663,0.876604823,0.060739864,0.062655313,0.218376983,0.275301836,0.356011735,0.150309446
Kentucky,2016,21,4436974,1012,0.000228083,22.80833739,314,7.0769E-05,7.076895199,418,9.42084E-05,9.420835011,50,1.12689E-05,1.12689414,471,0.000106153,10.6153428,69,1.55511E-05,1.555113913,0.890496932,0.078998619,0.030504449,0.201574316,0.263402265,0.379350431,0.155672988
Louisiana,2016,22,4681666,359,7.66821E-05,7.668210419,150,3.20399E-05,3.20398764,118,2.52047E-05,2.520470277,19,4.05838E-06,0.405838434,91,1.94375E-05,1.943752502,48,1.02528E-05,1.025276045,0.640334612,0.322710997,0.036954391,0.211157097,0.280679997,0.364102437,0.144060469
Maine,2016,23,1331479,306,0.00022982,22.98196216,55,4.13074E-05,4.130744833,133,9.98889E-05,9.988892052,39,2.92907E-05,2.929073609,201,0.00015096,15.09599475,3,2.25313E-06,0.225313355,0.955887744,0.012247424,0.031864832,0.167336473,0.23633268,0.402799443,0.193531404
Maryland,2016,24,6016447,1847,0.000306992,30.69918176,653,0.000108536,10.85358186,679,0.000112857,11.2857306,203,3.37408E-05,3.374084406,1100,0.000182832,18.28321599,243,4.03893E-05,4.038928623,0.613379597,0.299904288,0.086716115,0.198432231,0.268899236,0.387032745,0.145635788
Massachusetts,2016,25,6811779,2025,0.000297279,29.72791689,638,9.36613E-05,9.366128878,280,4.11053E-05,4.11052678,100,1.46805E-05,1.468045279,1565,0.000229749,22.97490861,375,5.50517E-05,5.505169795,0.843807277,0.077030174,0.079162549,0.177557581,0.280720205,0.384059436,0.157662778
Michigan,2016,26,9928300,1795,0.000180796,18.07963095,729,7.34265E-05,7.342646777,579,5.83181E-05,5.831814107,153,1.54105E-05,1.541049324,933,9.39738E-05,9.397379209,68,6.84911E-06,0.684910811,0.804308635,0.143273834,0.05241753,0.193713325,0.263318695,0.380628506,0.162339474
Minnesota,2016,27,5519952,404,7.3189E-05,7.318904222,151,2.73553E-05,2.735531034,141,2.55437E-05,2.554370038,68,1.23189E-05,1.23189477,99,1.79349E-05,1.793493856,19,3.44206E-06,0.344205892,0.871705577,0.052970017,0.075324406,0.207396188,0.267414644,0.374421915,0.150767253
Mississippi,2016,28,2988726,184,6.15647E-05,6.156469345,34,1.13761E-05,1.137608466,99,3.31245E-05,3.31244818,8,2.67673E-06,0.26767258,46,1.53912E-05,1.539117336,21,7.02641E-06,0.702640523,0.603037377,0.371752811,0.025209812,0.213264782,0.272069102,0.363785439,0.150880676
Missouri,2016,29,6093000,940,0.000154275,15.4275398,388,6.36796E-05,6.367963237,242,3.97177E-05,3.971770885,44,7.2214E-06,0.722140161,448,7.3527E-05,7.352699819,32,5.25193E-06,0.525192844,0.841287095,0.116912095,0.04180081,0.201342524,0.267758411,0.370383555,0.16051551
Montana,2016,30,1042520,43,4.12462E-05,4.12462111,7,6.7145E-06,0.671449948,12,1.15106E-05,1.151057054,8,7.67371E-06,0.767371369,15,1.43882E-05,1.438821318,5,4.79607E-06,0.479607106,0.901066792,0.004260093,0.094673115,0.194154549,0.259728351,0.368624103,0.177492998
Nebraska,2016,31,1907116,47,2.46445E-05,2.464454181,6,3.14611E-06,0.314611172,24,1.25844E-05,1.258444688,6,3.14611E-06,0.314611172,14,7.34093E-06,0.734092735,3,1.57306E-06,0.157305586,0.903042751,0.047072808,0.049884441,0.221466864,0.273989626,0.354188733,0.150354777
